time,X_value,Y_value,Z_value
17.575,-1.95564,2.85412,-15.19232
17.685,-1.80281,3.15645,-15.17347
17.746,-1.73208,3.21958,-15.16484
17.864,-1.65487,3.02886,-15.15238
17.996,-1.64484,2.96222,-15.14803
18.043,-1.62081,3.05049,-15.1413
18.167,-1.69184,3.13304,-15.1155
18.283,-1.77211,3.50629,-15.09224
18.343,-1.78119,3.57221,-15.08914
18.461,-1.81787,3.69773,-15.11877
18.583,-1.91585,3.69673,-15.16557
18.642,-1.93228,3.75059,-15.18546
18.766,-2.1492,3.60208,-15.25125
18.882,-2.25163,3.5296,-15.2972
18.947,-2.27908,3.52532,-15.31651
19.067,-2.34065,3.37134,-15.3644
19.182,-2.37319,3.08473,-15.39048
19.253,-2.31189,2.98164,-15.42885
19.369,-2.25023,3.00869,-15.47474
19.484,-2.13477,3.03662,-15.51397
19.544,-2.1093,2.90682,-15.53109
19.664,-2.12574,2.74502,-15.5687
19.727,-2.13991,2.63319,-15.60392
19.844,-2.08104,2.64092,-15.62444
19.964,-2.10687,2.63998,-15.65205
20.085,-2.21188,2.55656,-15.67776
20.145,-2.28692,2.63668,-15.68674
20.264,-2.6296,2.7357,-15.61298
20.385,-2.79648,2.70653,-15.54789
20.445,-2.98284,2.5155,-15.51703
20.569,-3.10505,2.52626,-15.46905
20.688,-3.2514,2.62671,-15.39023
20.751,-3.32003,2.67376,-15.36201
20.866,-3.37408,2.70588,-15.29566
20.934,-3.33331,2.72201,-15.27059
21.055,-3.30432,2.84056,-15.21456
21.168,-3.23795,2.84219,-15.15298
21.298,-3.17138,2.84444,-15.13558
21.345,-3.14925,2.96763,-15.1229
21.464,-3.11917,2.94072,-15.10026
21.59,-3.16742,3.02574,-15.10582
21.653,-3.17238,3.00226,-15.08441
21.765,-3.21566,2.87102,-15.06446
21.833,-3.15361,2.72123,-15.0574
21.948,-3.11905,2.68053,-15.02241
22.069,-2.90821,2.90477,-15.04061
22.128,-2.7162,3.25583,-15.06461
22.249,-2.59182,3.41071,-15.06474
22.369,-2.61522,3.54159,-15.09358
22.432,-2.5865,3.59647,-15.10876
22.585,-2.55515,3.6562,-15.12396
22.67,-2.54174,3.52703,-15.16705
22.726,-2.53114,3.48723,-15.17223
22.855,-2.37862,3.22001,-15.20651
22.999,-2.24963,2.95799,-15.22729
23.03,-2.2379,2.82449,-15.25968
23.152,-2.01343,2.55165,-15.31475
23.275,-2.00703,2.37328,-15.32188
23.329,-2.02261,2.33325,-15.32635
23.449,-1.99724,2.77815,-15.34896
23.572,-1.99415,2.72625,-15.36515
23.63,-1.92486,2.70095,-15.3671
23.75,-1.74479,2.74122,-15.36561
23.869,-1.62769,2.62155,-15.37425
23.931,-1.56493,2.69884,-15.37175
24.049,-1.52161,2.41997,-15.39047
24.17,-1.59375,2.60332,-15.41611
24.235,-1.6316,2.68292,-15.42115
24.35,-1.66758,2.9081,-15.41703
24.47,-1.64866,3.16458,-15.43183
24.53,-1.83429,3.10771,-15.44571
24.649,-1.69696,2.80081,-15.47496
24.77,-2.24058,2.55386,-15.45471
24.832,-2.25405,2.54574,-15.44915
24.947,-2.39623,2.52751,-15.44023
25.078,-2.27211,2.48836,-15.44293
25.129,-2.02516,2.55218,-15.45414
25.254,-1.74646,2.6787,-15.47566
25.38,-1.84303,2.72383,-15.47812
25.429,-1.79256,2.69976,-15.48055
25.551,-1.71824,3.04329,-15.49887
25.675,-1.92898,3.37134,-15.50843
25.729,-2.01091,3.40792,-15.50503
25.85,-2.44908,3.59804,-15.50608
25.971,-2.49653,3.87702,-15.55696
26.039,-2.64842,3.85716,-15.56179
26.152,-2.58634,3.1207,-15.59704
26.269,-2.60825,2.6756,-15.62663
26.339,-2.48431,2.42751,-15.6524
26.465,-2.55369,0.7792,-15.65509
26.57,-2.49735,1.10845,-15.65891
26.631,-2.44857,1.33981,-15.64746
26.793,-2.2195,2.17751,-15.64128
26.872,-2.04746,2.00124,-15.66013
26.932,-1.92334,2.00222,-15.67992
27.051,-1.85277,2.02613,-15.69096
27.174,-2.03647,2.19637,-15.71992
27.236,-2.09324,1.88686,-15.72676
27.352,-2.12338,2.16343,-15.74955
27.471,-2.16125,2.5665,-15.76377
27.535,-2.20351,2.51217,-15.76787
27.652,-2.0139,2.32488,-15.7854
27.771,-2.08652,2.37208,-15.80572
